ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId
Understand frequency density in histograms,Histograms,A,"A histogram is used to represent the distribution of the number of hours students spend on homework each week. The class interval for one of the bars is 5 to 10 hours, and the frequency for this interval is 15. The width of the class interval is 5 hours. What is the frequency density for this class interval?",3,75,15,5,,40.0,,
Calculate the mean as an average from a list of data,"Averages (mean, median, mode) from a List of Data",A,"A teacher recorded the number of books read by each student in a class over the summer. The numbers are as follows: 3, 5, 2, 4, 6, 3, 5, 4, 2, 5. What is the mean number of books read by the students?",4,3.5,4.5,5,,41.0,,
Identify the number of edges and vertices in 3D shapes,Properties of 3D Shapes,A,A cube has how many edges and how many vertices?,"12 edges, 8 vertices","8 edges, 12 vertices","6 edges, 8 vertices","12 edges, 6 vertices",,43.0,,
Simplify division by breaking it down into factors,Division and Factors,A,Calculate \( \frac{120}{15} \) by breaking down the division into factors.,\( 8 \),\( 10 \),\( 6 \),\( 12 \),,,46.0,
Find the total amount given a non-unit fraction,Fractions of an Amount,A,"If \( \frac{3}{4} \) of a number is 24, what is the number?",32,18,72,8,,50.0,,
Calculate the circumference of a circle,Circumference of a Circle,A,A circle has a radius of 7 cm. What is the circumference of the circle?,\( 14\pi \) cm,\( 7\pi \) cm,\( 49\pi \) cm,\( 22 \) cm,,53.0,,
Identify rational numbers,Rational and Irrational Numbers,B,Which of the following numbers is rational?,\( \sqrt{2} \),\( -\frac{3}{4} \),\( \pi \),\( \sqrt{-1} \),,,,56.0
Simplify algebraic fractions by identifying common factors,Algebraic Fractions,A,Simplify the following algebraic fraction: \(\frac{12x^2 + 18x}{6x}\),\(2x + 3\),\(2x^2 + 3x\),\(2x + 3x\),\(2x^2 + 3\),,59.0,,
Interpret the gradient of a curve,Graphs and Gradients,B,"The graph below shows the distance (in meters) a car has traveled over time (in seconds). What can you say about the speed of the car at \( t = 10 \) seconds? ![A graph with time (seconds) on the x-axis and distance (meters) on the y-axis. The curve starts at (0,0) and increases, becoming steeper as it approaches (10,50). It then levels off and becomes less steep as it approaches (20,100).]()
",The speed is constant.,The speed is increasing.,The speed is decreasing.,The speed is zero.,62.0,,,
Distinguish between data and sample in statistical analysis,Statistics and Probability,B,"A teacher collected the test scores of 30 students from a class of 120 students to analyze the performance. The teacher then used the average score of these 30 students to estimate the average score of the entire class. 

Which of the following statements is correct regarding this scenario?
","The 30 test scores are the data, and the class of 120 students is the sample.","The 30 test scores are the sample, and the class of 120 students is the population.","The 30 test scores are the population, and the class of 120 students is the sample.","The 30 test scores are the data, and the class of 120 students is the population.",63.0,,,
Identify and use variables in a real-world context,Algebraic Expressions,A,"Sarah is planning a party and needs to buy balloons. She decides to buy 3 balloons for each of her 10 friends. If each balloon costs $0.50, how much will Sarah spend in total on balloons?
",$15.00,$5.00,$1.50,$0.50,,65.0,,
Convert decimals to percentages,Converting between Decimals and Percentages,C,Convert \( 0.75 \) to a percentage.,\( 7500\% \),\( 750\% \),\( 75\% \),\( 0.75\% \),,67.0,,
Calculate a non-unit fraction of an amount,Fractions of an Amount,B,"A recipe calls for 2/3 of a cup of sugar. If you have a 6-cup container of sugar, how much sugar should you use for the recipe?",2 cups,4 cups,3 cups,12 cups,69.0,,,
Convert Decimals to Fractions,Fractions and Decimals,C,Write \( 0.75 \) as a fraction in its simplest form.,\( \frac{0.75}{1} \),\( \frac{75}{100} \),\( \frac{3}{4} \),\( \frac{75}{1} \),72.0,,,
Distinguish between a function and an expression,Functions and Expressions,B,"Consider the following two mathematical statements:
1. \( f(x) = 2x + 3 \)
2. \( 2x + 3 \)

Tom says that both statements are functions.
Katie says that the first statement is a function, but the second is an expression.

Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,73.0,,,
Vector Direction and Magnitude,Vectors,B,Consider the vectors \(\vec{a} = 3\hat{i} + 4\hat{j}\) and \(\vec{b} = -3\hat{i} - 4\hat{j}\). Which of the following statements is true about the directions of \(\vec{a}\) and \(\vec{b}\)?,\(\vec{a}\) and \(\vec{b}\) point in the same direction.,\(\vec{a}\) and \(\vec{b}\) point in opposite directions.,\(\vec{a}\) and \(\vec{b}\) are perpendicular to each other.,\(\vec{a}\) and \(\vec{b}\) have the same magnitude but different directions.,75.0,,,
Simplify algebraic expressions by dividing terms,Simplifying Algebraic Expressions,A,Simplify the following expression: \(\frac{12x^3y^2}{4xy}\),\(3x^2y\),\(3x^3y\),\(3x^2y^2\),\(3xy\),,79.0,,
Simplify algebraic fractions,Algebraic Fractions,D,"Simplify the following algebraic fraction:
\[
\frac{3x + 6}{x + 2}
\]",\( 3 \),\( 3x \),\( 3(x + 2) \),\( 3 \),80.0,,,
Understand the properties of angles in polygons,Angles in Polygons,A,"In a regular hexagon, what is the measure of one exterior angle?",60 degrees,120 degrees,180 degrees,30 degrees,,87.0,,
Understand place value after the decimal point,Decimal Place Value,A,What is the value of the digit 7 in the number 3.745?,7 tenths,7 hundredths,7 thousandths,7 units,,90.0,,
Identify the center of rotation,Rotation,B,"A shape is rotated 90° counterclockwise. The original shape and the rotated shape are shown below. Identify the center of rotation. ![A diagram showing a triangle and its rotated image. The original triangle has vertices at (1, 1), (3, 1), and (2, 3). The rotated triangle has vertices at (-1, 1), (-3, 1), and (-2, 3).]","(0, 0)","(2, 2)","(1, 1)","(2, 1)",92.0,,,
Multiplying a Surd by an Integer,Surds and Indices,A,"Jo and Paul are discussing the result of \( 3 \times 2\sqrt{5} \).

Jo says the result is \( 6\sqrt{5} \).

Paul says the result is \( 6\sqrt{10} \).

Who is correct?",Only Jo,Only Paul,Both Jo and Paul,Neither is correct,,93.0,,
Solve simultaneous equations by elimination,Simultaneous Equations,D,"Solve the following system of equations:
\[
\begin{array}{l}
2x + 3y = 11 \\
4x + 5y = 19
\end{array}
\]
First, transform the equations to eliminate \( y \). Which of the following is a correct transformation?",\(\begin{array}{l}4x + 6y = 22 \\ 4x + 5y = 19\end{array}\),\(\begin{array}{l}4x + 6y = 11 \\ 4x + 5y = 19\end{array}\),\(\begin{array}{l}4x + 3y = 11 \\ 4x + 5y = 19\end{array}\),\(\begin{array}{l}4x + 6y = 22 \\ 4x + 10y = 38\end{array}\),,,94.0,
Add surds in the form m√a + n√b,Operations with Surds,B,"Simplify the following expression:
\[
3 \sqrt{2} + 2 \sqrt{8}
\]",\( 5 \sqrt{10} \),\( 7 \sqrt{2} \),\( 11 \sqrt{2} \),\( 3 \sqrt{10} \),96.0,,,
Identify the nth term rule for a sequence,Linear Sequences (nth term),B,"Consider the sequence: 2, 4, 8, 16, 32, ...
Which of the following is the correct nth term rule for this sequence?",\( 2n \),\( 2^n \),\( 2n + 2 \),\( 2n - 2 \),104.0,,,
Compare fractions to determine their proximity to 1,Fractions and Their Proximity to 1,B,Which of the following fractions is closest to 1?,\( \frac{5}{6} \),\( \frac{7}{8} \),\( \frac{4}{5} \),\( \frac{3}{4} \),112.0,,,
Convert fractions to decimals,Fractions and Decimals,B,Convert the fraction \(\frac{3}{4}\) to a decimal.,\(0.3\),\(0.75\),\(0.4\),\(0.34\),115.0,,,
Calculate the midpoint of a grouped frequency table,Statistics and Data Handling,B,"A teacher recorded the test scores of 30 students in a grouped frequency table. The scores are grouped into intervals as shown below. What is the correct midpoint for the interval 60-70?

| Score Interval | Frequency |
|----------------|-----------|
| 50-60          | 8         |
| 60-70          | 12        |
| 70-80          | 10        |
",60,65,720,70,,,121.0,
Convert percentages to fractions,Fractions and Percentages,C,Convert \( 25\% \) to a fraction.,\( \frac{25}{25} \),\( \frac{25}{100} \),\( \frac{1}{4} \),\( \frac{100}{25} \),122.0,,,
Identify and describe properties of lines and segments,Properties of Lines and Segments,B,Which of the following best describes two lines that are always the same distance apart and never intersect?,Perpendicular bisectors,Parallel lines,Intersecting lines,Perpendicular lines,124.0,,,
Understand the operation of division,Basic Operations,A,"If you have 24 apples and you want to divide them equally among 6 friends, how many apples will each friend get?",4,30,6,18,,125.0,,
Identify coordinates on a 2D grid,Coordinate Geometry,A,"What are the coordinates of point P on the grid below? ![A 2D grid with point P located at (3, -2)]","(3, -2)","(-2, 3)","(2, -3)","(-3, 2)",,128.0,,
Understand the concept of equivalent ratios,Ratios and Proportions,A,"A recipe for a cake requires 3 cups of flour for every 2 cups of sugar. If you want to make a smaller cake and use only 1 cup of sugar, how many cups of flour should you use to keep the recipe equivalent?",1.5 cups,2 cups,1 cup,3 cups,,129.0,,
Calculate the exterior angle of a regular polygon,Angles in Polygons,B,A regular hexagon has all its sides and angles equal. What is the measure of one exterior angle of this hexagon?,360 degrees,60 degrees,120 degrees,180 degrees,135.0,,,
Triple a number,Mental Multiplication and Division,A,What is the result of tripling 7?,21,10,777,14,,139.0,,
Plotting Cumulative Frequency,Cumulative Frequency,C,"The following table shows the distribution of the number of hours students spent studying for an exam. Plot the cumulative frequency graph and determine the cumulative frequency at the upper bound of the 10-15 hours class.

| Hours Studied | Frequency |
|---------------|-----------|
| 0-5           | 12        |
| 5-10          | 18        |
| 10-15         | 20        |
| 15-20         | 10        |
| 20-25         | 5         |
",12,30,50,60,,140.0,,
Identify the coordinates of a point after a transformation,Coordinate Geometry,A,"A point P has coordinates (3, 5). After a reflection over the x-axis, what are the new coordinates of point P?","(3, -5)","(-3, 5)","(-3, -5)","(5, 3)",,,,144.0
Convert percentages with a decimal point into decimals,Converting between Percentages and Decimals,A,Convert \( 45.5\% \) to a decimal.,\( 0.455 \),\( 4.55 \),\( 0.0455 \),\( 45.5 \),,145.0,,
Distribute a total amount equally among a group,Division and Distribution,A,A teacher has 48 pencils to distribute equally among 8 students. How many pencils will each student receive?,6 pencils,48 pencils,8 pencils,384 pencils,,,,147.0
Distinguish between theoretical and experimental probability,Probability,B,"A fair six-sided die is rolled 60 times. The results are as follows: 1 appears 10 times, 2 appears 12 times, 3 appears 8 times, 4 appears 15 times, 5 appears 9 times, and 6 appears 6 times. What is the experimental probability of rolling a 4?",\( \frac{1}{6} \),\( \frac{15}{60} \),\( \frac{1}{4} \),\( \frac{15}{100} \),148.0,,,
Understand the meaning of probability notation,Probability,B,"A bag contains 5 red marbles, 3 blue marbles, and 2 green marbles. If a marble is randomly selected from the bag, what does P(red) represent?",The number of red marbles in the bag,The probability of selecting a red marble,The total number of marbles in the bag,The number of marbles that are not red,149.0,,,
Recognize and write numbers in words,Place Value,A,Write the number 17 in words.,Seventeen,Seven,Seventy,One hundred and seven,,150.0,,
Solve for an angle in a right-angled triangle using trigonometric ratios,Trigonometry,C,"In a right-angled triangle, the length of the opposite side to angle θ is 8 units, and the length of the adjacent side is 15 units. What is the measure of angle θ?",\( \theta = \frac{8}{15} \),\( \theta = \frac{15}{8} \),\( \theta = \tan^{-1}\left(\frac{8}{15}\right) \),\( \theta = \tan^{-1}\left(\frac{15}{8}\right) \),155.0,,,
Distinguish between linear and quadratic graphs,Graphs of Linear and Quadratic Equations,B,"The graph below represents the equation \( y = 2x + 3 \). Which of the following statements is true about the graph?

![A straight line graph that starts at (0, 3) and increases with a slope of 2. The line passes through points (0, 3), (1, 5), and (2, 7).]
",The graph is a parabola.,The graph is a straight line.,"The graph has a vertex at (0, 3).",The graph opens upwards.,156.0,,,
Understand the difference between units of length and area,Units of Measurement,B,Sarah is measuring the length of a rectangular garden. She measures the length as 15 meters and the width as 10 meters. She then calculates the area of the garden and writes it as 150 meters. Is Sarah correct in her notation for the area of the garden?,"Yes, 150 meters is the correct notation for the area.","No, the correct notation for the area should be 150 square meters.","No, the correct notation for the area should be 150 meters squared.","No, the correct notation for the area should be 150 meters cubed.",157.0,,,
Understand the effect of adding positive and negative numbers,Adding and Subtracting Integers,B,"If you have a temperature of -5 degrees and the temperature rises by 3 degrees, what is the new temperature?",-8 degrees,-2 degrees,2 degrees,8 degrees,160.0,,,
Understand the impact of multiple variables on bias in statistical studies,Statistics and Probability,B,"A study is conducted to determine the effect of a new teaching method on student performance. The study includes two groups: Group A, which uses the new method, and Group B, which uses the traditional method. The study also records the following variables for each student: age, socioeconomic status (SES), and prior academic performance.

Which of the following statements is true regarding the potential for bias in the study?
",Only the teaching method can introduce bias.,"Age, SES, and prior academic performance can also introduce bias.",Only SES can introduce bias.,Only prior academic performance can introduce bias.,163.0,,,
Identify the slope and intercepts in a linear equation,Linear Equations and Graphs,C,Consider the linear equation \( y = 3x - 4 \). What is the x-intercept of this line?,\( 3 \),\( -4 \),\( \frac{4}{3} \),\( -\frac{4}{3} \),165.0,,,
Understand and Apply Composite Function Notation,Composite Functions,A,"Given the functions \( f(x) = 2x + 3 \) and \( g(x) = x^2 \), what is \( f(g(2)) \)?",\( 11 \),\( 7 \),\( 19 \),\( 14 \),,168.0,,
Solve linear equations by dividing both sides,Linear Equations,A,"Solve the equation:
\[
\frac{2x + 6}{2} = 5
\]",\( x = 2 \),\( x = 4 \),\( x = 7 \),\( x = 1 \),,170.0,,
Understand the effect of dividing by powers of ten in multiplication,Multiplying and Dividing with Decimals,A,Calculate the following: \( 0.05 \times 0.02 \),\( 0.001 \),\( 0.01 \),\( 0.1 \),\( 0.0001 \),,173.0,,
Calculate the area of a sector of a circle,Area of Sectors,A,A circle has a radius of 10 cm. A sector of this circle has a central angle of 120°. What is the area of the minor sector?,\( 104.72 \mathrm{~cm}^{2} \),\( 314.16 \mathrm{~cm}^{2} \),\( 33.33 \mathrm{~cm}^{2} \),\( 209.44 \mathrm{~cm}^{2} \),,,,174.0
Multiplying Decimals,Decimal Operations,A,"If you multiply 0.5 by 0.4, what is the result?",0.2,2.0,0.9,0.02,,175.0,,
Calculate percentage change,Percentages,A,A stock's value increased from $50 to $75. What is the percentage change in the stock's value?,50%,33.33%,150%,25%,,,177.0,
Add numbers in standard form,Standard Form,D,What is the sum of \( 3 \times 10^3 \) and \( 7 \times 10^3 \)?,\( 10 \times 10^3 \),\( 10 \times 10^4 \),\( 10^4 \),\( 10000 \),,178.0,,
Calculate the volume of a cube,Volume of 3D Shapes,A,A cube has a side length of 3 cm. What is the volume of the cube?,27 cm³,9 cm³,33 cm³,3 cm³,,,180.0,
Calculate the space diagonal of a cuboid,3D Geometry and Diagonals,D,"A cuboid has a length of 6 cm, a width of 8 cm, and a height of 10 cm. What is the length of the space diagonal of the cuboid?",10 cm,14 cm,10.44 cm,14.42 cm,184.0,,,
Calculate the Interquartile Range,Statistics and Data Analysis,B,"The following data set represents the number of pages in a series of books: 120, 150, 180, 200, 220, 250, 280, 300, 320, 350. What is the interquartile range (IQR) of this data set?",230,130,200,170,188.0,,,
Calculate the volume of a prism,Volume of Prisms,A,A rectangular prism has a base that is 5 cm by 3 cm and a height of 8 cm. What is the volume of the prism?,120 cm³,40 cm³,24 cm³,15 cm³,,192.0,,
Identify properties of cyclic quadrilaterals,Properties of Cyclic Quadrilaterals,B,Which of the following statements is true about a cyclic quadrilateral?,A cyclic quadrilateral can be self-intersecting.,The opposite angles of a cyclic quadrilateral sum to 180 degrees.,A cyclic quadrilateral can have all sides of different lengths.,A cyclic quadrilateral can have all angles of 90 degrees.,193.0,,,
Multiply decimals by powers of 10,Multiplying and Dividing with Decimals,B,What is the result of \( 0.75 \times 100 \)?,\( 0.7500 \),\( 75 \),\( 7.5 \),\( 750 \),198.0,,,
Understand the correct application of exponents in multiplication,Exponents and Powers,A,Calculate the value of \( 2 \times 3^2 \).,\( 18 \),\( 12 \),\( 36 \),\( 6 \),,199.0,,
Solve Simultaneous Equations,Simultaneous Equations,A,"Solve the following system of equations:
\[
\begin{array}{r}
3x + 2y = 12 \\
6x - 4y = 24
\end{array}
\]
What is the value of \( x \)?",\( x = 4 \),\( x = 2 \),\( x = 6 \),\( x = 8 \),,200.0,,
Understand the effect of dividing by powers of 10 in multiplication,Multiplying and Dividing by Powers of 10,B,"Calculate the following:
\[
\frac{120 \times 30}{10} \quad \text{and} \quad \frac{12 \times 3}{10}
\]
Are the answers the same?","Yes, both answers are 36","No, the first answer is 360 and the second is 3.6","No, the first answer is 36 and the second is 3.6","No, the first answer is 360 and the second is 36",203.0,,,
Identify properties of triangles,Properties of Triangles,B,Which of the following statements is true about a triangle with all sides of different lengths?,It is an equilateral triangle.,It is a scalene triangle.,It is an isosceles triangle.,It is a right-angled triangle.,204.0,,,
Identify 3D Shapes,Names and Properties of 3D Shapes,B,Which of the following statements is true about a cylinder?,A cylinder is a prism.,A cylinder has two circular bases.,A cylinder has a triangular base.,A cylinder has a square base.,206.0,,,
Evaluate Composite Functions,Composite Functions,A,"Given the functions \( f(x) = 2x + 3 \) and \( g(x) = x^2 \), find \( f(g(2)) \).",\( 11 \),\( 19 \),\( 7 \),\( 23 \),,208.0,,
Vector Multiplication by a Fraction,Vectors and Fractions,B,"Given the vector \(\begin{pmatrix} 3 \\ 4 \end{pmatrix}\), what is the result of multiplying this vector by the fraction \(\frac{1}{2}\)?",\(\begin{pmatrix} 4 \\ 5 \end{pmatrix}\),\(\begin{pmatrix} 1.5 \\ 2 \end{pmatrix}\),\(\begin{pmatrix} 3.5 \\ 4.5 \end{pmatrix}\),\(\begin{pmatrix} 2 \\ 3 \end{pmatrix}\),209.0,,,
Understand and use inequality notation,Inequalities,B,Which of the following statements is true?,\( 5 < 3 \),\( 3 < 5 \),\( 3 < 3 \),\( 5 < 5 \),214.0,,,
Identify the nth term in a sequence,Sequences and Series,B,What is the 5th term in the sequence defined by the formula \( a_n = 3n + 2 \)?,5,17,15,20,215.0,,,
Identify the highest common factor (HCF) of a set of numbers,Factors and Highest Common Factor,A,"What is the highest common factor (HCF) of the numbers 12, 18, and 30?",6,2,3,1,,216.0,,
Understand the concept of absolute value,Absolute Value,B,What is the absolute value of -7?,-7,7,0,14,222.0,,,
Interpret a frequency table,Averages and Range from Frequency Table,A,"The frequency table shows the number of books read by students in a month. How many students have read 3 or fewer books?
\begin{tabular}{|c|c|}
\hline
Number of Books & Frequency \\
\hline
0 & 5 \\
\hline
1 & 8 \\
\hline
2 & 7 \\
\hline
3 & 4 \\
\hline
4 & 6 \\
\hline
\end{tabular}",24,17,20,22,,225.0,,
Write an equivalent multiplication sum for a division sum using a reciprocal,Dividing Fractions,B,How can the division sum \( \frac{3}{4} \div \frac{2}{5} \) be written as an equivalent multiplication sum?,\( \frac{3}{4} \times \frac{2}{5} \),\( \frac{3}{4} \times \frac{5}{2} \),\( \frac{3}{4} \times \frac{4}{3} \),\( \frac{3}{4} \times \frac{5}{3} \),231.0,,,
Identify the measure of an angle in a geometric figure,"Basic Angle Facts (straight line, opposite, around a point, etc)",B,"In the diagram below, angles A and B are adjacent angles on a straight line. If angle A measures 50°, what is the measure of angle B?
![A straight line with two angles, A and B, marked on it. Angle A is 50 degrees.]",50°,130°,40°,180°,235.0,,,
Identify the presence of correlation in scatter graphs,Scatter Graphs and Correlation,B,"A group of students recorded the number of hours they spent studying and their corresponding test scores. The scatter graph below shows the data collected. Is it appropriate to draw a line of best fit on this scatter graph?

![A scatter graph with the x-axis labeled ""Hours Studied"" and the y-axis labeled ""Test Score"". The points are scattered randomly with no discernible pattern.]
","Yes, because a line of best fit can always be drawn on a scatter graph.","No, because there is no clear relationship or correlation between the variables.","Yes, because the points are all on the graph.","No, because the points are not all in a straight line.",237.0,,,
Calculate the mean from a stem and leaf diagram,Averages from Stem and Leaf Diagrams,A,"The stem and leaf diagram below shows the ages of participants in a community event. Find the mean age of the participants.
Stem | Leaf
1    | 2 3 5 7
2    | 1 4 6 8
3    | 0 2 5 9
4    | 1 3 7
5    | 2 4 6
",30,3.5,35,28,,238.0,,
Calculate the lower bound in a division,Bounds and Accuracy,C,"The length of a rectangle is given as \( 12.5 \) cm to the nearest \( 0.5 \) cm, and the width is given as \( 5.5 \) cm to the nearest \( 0.5 \) cm. Calculate the lower bound of the area of the rectangle.",\( 66.25 \) cm²,\( 64.25 \) cm²,\( 62.25 \) cm²,\( 60.25 \) cm²,240.0,,,
Identify co-interior angles,Angle Facts with Parallel Lines,A,"Two parallel lines are intersected by a transversal. If one of the co-interior angles is \( 110^\circ \), what is the measure of the other co-interior angle?",\( 70^\circ \),\( 110^\circ \),\( 250^\circ \),\( 290^\circ \),,,,241.0
Factorise a quadratic expression in the form ax² + bx + c,Factorising into a Double Bracket,D,Factorise the following expression: \( 12x^2 + 16x + 4 \),\( (2x + 1)(6x + 4) \),\( (3x + 1)(4x + 4) \),\( (6x + 2)(2x + 2) \),\( (4x + 2)(3x + 2) \),243.0,,,
Convert between units of mass,Units of Measurement,B,"A bag of sugar weighs 2 kilograms. If you need to measure this weight in grams, how many grams does the bag of sugar weigh?",200 grams,2000 grams,20 grams,2 grams,246.0,,,
Simplify fractions with a numerator of 0,Simplifying Fractions,A,Simplify the fraction \(\frac{0}{7}\).,\(0\),\(\frac{1}{7}\),\(\frac{7}{0}\),\(\frac{0}{1}\),,250.0,,
Identify Triangle Numbers,Number Patterns and Sequences,C,Which of the following is a triangle number?,15,21,28,35,254.0,,,
"Calculate the whole amount, given a fraction of the amount",Fractions of an Amount,B,"If \( \frac{3}{4} \) of a number is 24, what is the whole number?",18,32,72,96,257.0,,,
Find a missing number in a factor tree,Factor Trees,A,"In the factor tree below, what number should replace the star to complete the factorization of 48?
```
```
        48
       /  \
      6    8
     / \  / \
    2  3  2  4
           / \
          2  \color{gold}\bigstar
```",2,4,6,8,,258.0,,
Draw the front elevation of a 3D shape,3D Shapes and Elevation Drawings,C,"Draw the front elevation of the 3D shape shown below. The shape is a rectangular prism with a smaller rectangular prism on top of it. The base of the larger prism is 8 units wide and 4 units high, and the smaller prism on top is 4 units wide and 2 units high. The smaller prism is centered on the larger one.

[Diagram of a 3D shape with a larger rectangular prism at the bottom and a smaller rectangular prism on top, centered.]
",A drawing showing only the smaller rectangular prism on top.,"A drawing showing the larger rectangular prism with the smaller one on top, but the bottom layer of the larger prism is not included.","A drawing showing the larger rectangular prism with the smaller one on top, including the bottom layer of the larger prism.","A drawing showing the entire 3D shape from the side, not the front.",,259.0,,
Factorise a quadratic expression in the form ax² + bx + c,Factorising into a Double Bracket,A,Factorise the following expression: \( 6x^2 + 12x + 6 \),\( 6(x + 1)(x + 1) \),\( (6x + 6)(x + 1) \),\( 6(x + 2)(x + 1) \),\( (x + 1)(6x + 6) \),,266.0,,
Calculate the distance between two coordinates in 2D,Distance Between Two Co-ordinates,D,"What is the distance between the points (3, 4) and (8, 10)?",7,5,10,8.06,,,269.0,
Calculate the area of a sector of a circle,Area of Sectors,C,A circle has a radius of 10 cm. A sector of this circle has an angle of 60 degrees. What is the area of this sector?,\( 60 \pi \ \mathrm{cm}^{2} \),\( 50 \pi \ \mathrm{cm}^{2} \),\( 52.36 \ \mathrm{cm}^{2} \),\( 100 \pi \ \mathrm{cm}^{2} \),274.0,,,
Identify a point on a line segment,Coordinate Geometry,B,"The line segment AB has endpoints A(2, 3) and B(10, 15). Point C lies on the line segment AB such that AC is one-third the length of AB. What are the coordinates of point C?","(4, 5)","(6, 9)","(8, 13)","(5, 7)",275.0,,,
Solve direct proportion problems by scaling up,Direct Proportion,A,A recipe for 4 servings of a dish requires 2 cups of flour. How many cups of flour are needed for 12 servings?,6 cups,8 cups,18 cups,24 cups,,,,276.0
Understand the definition of pressure,Pressure and Volume,B,A force of 100 N is applied to a surface area of 2 m². What is the pressure exerted on the surface?,50 N/m³,50 N/m²,200 N/m³,200 N/m²,277.0,,,
Subtract a fraction from an integer,Adding and Subtracting Fractions,D,Calculate: \( 5 - \frac{3}{4} \),\( -\frac{23}{4} \),\( \frac{17}{4} \),\( \frac{20}{4} \),\( 4 \frac{1}{4} \),286.0,,,
Factorise a number into its prime factors,Prime Factorisation,A,What is the prime factorisation of 120?,\( 2 \times 2 \times 2 \times 3 \times 5 \),\( 2 \times 2 \times 2 \times 15 \),\( 2 \times 2 \times 3 \times 10 \),\( 2 \times 2 \times 2 \times 3 \times 10 \),,288.0,,
Understand the effect of negative values in column vectors,Vectors,A,"A point P is at the coordinates (3, 5). If the point P is moved by the column vector \(\begin{pmatrix} 2 \\ -4 \end{pmatrix}\), what are the new coordinates of point P?","(5, 1)","(5, 9)","(1, 1)","(1, 9)",,291.0,,
Distinguish between constants and variables in algebraic expressions,Algebraic Expressions,A,"Consider the expression \( 5x + 3 \). If \( x = 2 \), what is the value of the expression? ",13,10,8,15,,298.0,,
